GEO,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02
Croatia,:,:,:,:,:,:,:,:,:,:,:,:,170,145,170,105,95,40,45,50,80,95,55,35,55,30,45,35,35,35,45,45,35,45,30,25,25,25,15,15,10,10,10,10,25,25,20,15,45,60,165,195,105,100,95,230,365,400,265,190,45,65,60,70,95,70,115,110,70,100,125,50,55,70,120,35,55,75,60,105,55,100,35,40,40,30
Total,28225,25855,26720,24890,27415,28145,32060,33025,35380,44130,37715,29990,33155,29700,32100,36160,36685,39015,42180,39675,45285,49815,43460,37280,43505,37400,39630,41660,45865,49920,62515,58850,71260,72645,67415,71500,70070,74650,70660,66820,76480,100925,127900,153370,180395,185375,172550,114725,105500,117205,108670,111875,105720,126800,121910,141100,126080,85270,77260,65350,64540,61655,68920,54945,60210,59430,62040,64650,62065,62615,61255,49030,58870,51445,53325,52695,55980,55175,59345,54845,54555,63435,58885,48955,60585,56820
European Union,24850,22995,23825,21795,24435,24795,28375,29275,32215,40725,34465,27545,30020,27220,29440,33280,34270,36555,39110,36505,42430,46875,40645,34745,40825,35345,37445,39370,42905,46475,58615,55220,67525,69195,64860,69180,67900,72675,68620,64840,73040,95945,122575,147095,170825,171895,158665,108770,101420,114205,106325,109840,103560,124170,119120,138290,123440,82695,74800,63045,62385,59735,66785,53215,58255,57300,59960,62565,60375,60825,59595,47595,57200,49900,51525,50740,53905,53085,57220,53075,52900,61410,57200,47575,59070,55155
Germany,5515,4700,4465,4095,4390,4930,5635,6830,8740,12470,10140,5575,8370,6800,6500,8735,8580,9730,11365,11545,14030,15625,14425,11005,14920,11655,11700,11890,12965,14655,20930,18705,20100,22250,22500,20370,26875,27695,33865,28720,27595,37030,39825,39480,47185,60355,59615,48270,59070,74865,67300,67865,61295,80750,78665,94350,78425,34270,27745,20550,20935,19285,22160,16275,17860,16685,18195,20555,18365,18145,19825,14275,19085,15825,15795,14760,13910,15185,17050,16560,14215,16080,15175,10540,18265,15365
France,4800,5315,5130,4560,4430,4930,5435,4960,4635,6285,5185,5775,5065,5555,5870,6010,5145,5620,6170,4985,4900,6320,5235,5385,5125,5365,5990,5945,4760,5150,5575,4280,5230,6110,4945,5835,4440,5830,6090,5650,4745,5730,5815,5580,7370,8060,7370,9485,6325,7085,7095,6740,6610,6935,6625,7690,7485,7445,6680,7550,7680,7640,8865,7920,8025,7540,8325,8115,7525,8735,9260,9700,9235,9300,9625,9750,9585,9620,10250,9995,9080,12075,10480,11430,9235,10360
Sweden,2720,2365,2475,2445,3245,3090,4110,4355,4910,5490,4560,4085,3790,2960,2960,3045,3080,2975,4120,4800,7770,7910,5530,5325,4450,4100,4395,4845,6010,8070,9380,8855,9965,8175,5995,6945,4890,4045,4105,3915,5375,6610,8060,11725,24260,39055,36585,13830,4155,2715,2235,2035,2050,2105,2105,2365,2395,2425,2220,1985,1985,1755,1940,1575,1775,2380,2420,2945,2770,2555,2265,1960,2170,1690,1650,1575,1665,1650,1895,1960,1825,2015,1760,1705,1880,:
Belgium,2640,2390,2190,2130,2330,2320,2505,2215,2375,2715,2210,2055,2225,1815,1835,1730,1670,1630,1860,1725,1955,1760,1445,1375,1885,1605,1575,1630,1335,1805,2005,2085,2410,2275,1895,2205,1715,1640,1745,1620,2095,2880,3590,5585,6830,6020,5725,5220,2840,1515,1370,1190,1185,1075,1275,1665,1420,1665,1525,1555,1455,1415,1615,1420,1435,1395,1530,1595,1660,1775,1600,1455,1890,1590,1780,1515,1790,1550,2115,2195,2325,2595,1935,1250,2765,2065
Switzerland,2585,2215,2240,2415,2310,2525,2785,2775,2230,2385,2360,1580,2120,1785,1820,2050,1640,1540,1800,1530,1470,1830,1950,1770,1925,1450,1485,1460,1665,2225,2880,2510,2390,2380,1675,1510,1560,1415,1490,1375,2195,3800,3895,3890,4540,4745,5680,4865,3620,2700,1990,1740,1880,2325,2470,2435,2175,2090,1960,1760,1585,1500,1625,1300,1445,1630,1685,1680,1405,1520,1435,1200,1425,1335,1265,1245,1255,1240,1365,1190,1095,1435,1290,1020,1145,1235
United Kingdom,2310,1950,2270,1985,2485,2105,2525,2425,2650,2920,2840,2330,2525,2395,2415,2550,2495,2505,2825,2460,2660,2905,2585,2265,2570,2475,2850,2350,2265,2620,3025,2930,3210,3290,2655,2550,2915,2340,2565,2040,2645,3170,4445,3770,4170,5220,3475,3395,3820,3390,3265,3665,3330,3205,2965,3245,3355,2955,3175,3365,2840,2510,3180,2225,2840,2760,2730,2745,2875,3110,3150,2810,2960,2735,2980,2610,2865,2960,3390,3075,3250,3340,3880,3690,3775,3375
Netherlands,1330,1260,1145,925,875,915,970,1010,1035,1360,1155,1115,1050,945,985,935,885,990,1065,1000,1230,1510,1290,1180,1490,1105,1155,2430,3445,1935,2260,2405,3120,2245,1450,1455,1055,955,990,1320,2370,3060,3140,5470,6620,10120,6360,3515,2680,1920,1330,1110,1115,1260,1690,1905,1995,2170,2070,1700,1550,1420,1540,1320,1440,1510,1735,1610,1585,1500,1480,1520,1755,1460,1620,1675,1790,1515,2285,2490,2640,2535,2180,2085,2160,1940
Austria,1305,1000,1220,1240,1345,1235,1650,1755,1770,2120,1530,1245,1210,1185,1195,1405,1445,1800,1800,1355,1345,1695,1550,1520,1520,1235,1330,1410,1780,1765,2215,2445,3290,3155,3690,4200,4030,3255,2920,4040,6390,7675,8790,8795,10780,12275,11930,7280,5910,5125,3355,4160,3855,3240,3125,3315,2640,2635,2415,2470,2255,2125,2195,1950,2145,1995,2190,2510,2015,2110,1645,1580,1480,1200,1305,1020,1100,985,1165,1070,1075,1085,1030,870,1015,875
Italy,1155,1165,1420,1055,1515,1030,1550,1540,1430,2180,2005,1285,1640,1165,1865,1810,1745,2035,2455,2520,2600,3390,3135,2260,3480,3265,3955,4300,5465,4615,5675,5110,7265,8980,6865,5660,4570,4935,5490,4580,5170,5320,8600,8805,11195,10420,8345,6105,7495,7680,7395,7980,9220,9910,11060,11455,12460,13495,13615,11195,11715,12020,13700,9560,12120,13010,12275,10255,10585,9900,8495,5220,7450,6545,6485,5060,5730,5860,5105,2800,3685,4160,4085,2990,3920,3325
Norway,775,635,650,660,665,815,870,950,925,1000,870,855,990,685,830,810,760,910,1255,1620,1365,1095,855,760,745,585,685,810,1280,1200,1010,1100,1315,1045,870,770,595,530,535,580,1225,1145,1395,2330,4935,8660,8155,1030,415,255,300,245,215,265,265,305,280,280,235,420,480,320,410,360,420,355,260,240,185,180,145,160,160,145,150,175,195,300,390,295,265,240,175,170,185,155
Greece,555,680,710,885,720,805,590,750,745,1255,1030,850,755,705,610,745,595,535,775,610,675,835,760,630,760,885,795,840,845,730,880,510,670,890,670,955,1065,1015,915,980,1145,1120,1235,1050,1155,1045,1170,1315,1170,1470,2955,3700,4280,4255,4010,3530,5125,6270,7625,6715,6340,5635,4875,2705,4075,4195,4110,5040,5900,6410,5390,3970,4750,4060,4535,5270,5835,5735,6040,5130,6035,7310,7060,5210,5530,5455
Poland,505,570,740,715,600,720,905,1040,1365,1365,1110,1120,740,850,1395,2015,3010,2390,1595,975,815,625,445,385,625,465,605,695,635,695,725,620,810,815,680,645,610,600,630,750,680,860,1145,1375,1690,1430,1270,1145,680,965,1230,1315,1550,1655,1185,940,850,680,635,615,555,570,540,425,435,450,395,430,355,280,340,270,420,275,355,365,350,355,365,280,325,425,325,285,305,300
Denmark,395,315,455,440,415,615,560,490,515,610,640,595,745,545,575,535,475,500,610,670,645,710,635,520,570,440,505,610,720,1005,1710,2295,3085,1855,1115,765,640,440,460,555,880,1090,1035,1815,2690,3635,5030,2670,1650,910,470,405,370,470,400,295,305,350,285,260,225,215,250,240,290,305,310,305,315,280,265,210,290,270,270,250,285,255,355,385,365,350,305,185,230,180
Luxembourg,220,135,205,195,265,180,235,135,125,165,120,70,80,70,75,90,80,90,105,75,120,125,100,60,100,90,75,55,90,70,90,100,140,130,120,85,90,95,105,80,95,105,115,190,380,385,425,440,270,135,110,130,125,175,140,200,205,285,175,205,240,245,235,195,210,145,170,195,200,195,160,250,190,135,140,140,155,160,245,230,215,190,250,290,250,200
Finland,220,185,215,175,220,255,275,325,345,310,335,235,265,235,245,250,235,240,260,325,340,280,280,255,260,230,235,250,235,255,270,350,405,410,325,405,305,325,355,340,515,770,1480,2890,10815,7005,5715,1830,1010,855,360,385,340,350,360,475,510,335,315,310,260,380,470,440,480,465,520,490,355,380,400,355,390,300,310,265,310,325,375,425,430,475,430,465,415,360
Spain,215,215,210,150,210,290,190,205,200,240,255,170,280,445,435,405,445,450,430,300,350,355,315,270,290,345,405,360,350,415,475,450,540,730,640,610,840,860,1240,1345,1065,1305,1170,1045,1425,1490,1765,1230,1105,935,890,1165,1325,1510,1025,1225,1320,1760,1935,1565,2125,2325,2415,4810,2780,2430,2760,3260,2890,2880,3035,2240,3150,2905,2905,4810,6665,5085,4455,3875,4645,5645,5580,4330,6655,9200
Romania,200,185,300,235,265,275,240,240,260,160,95,60,120,95,120,130,135,105,185,95,185,135,110,80,115,130,105,80,120,115,145,90,270,195,80,100,105,80,165,210,90,85,90,110,80,90,85,65,40,90,100,85,50,80,115,140,195,420,280,290,95,135,415,655,405,290,425,755,695,485,310,155,220,120,80,185,130,165,165,195,280,220,205,180,115,110
Hungary,185,105,165,95,135,130,200,180,160,320,260,220,300,670,1350,1965,3335,4115,2190,1140,1075,785,935,1035,1325,725,685,725,765,1205,1615,2200,4895,5425,9130,14075,11925,16695,4925,6690,9970,16580,31285,47095,30795,615,325,230,435,2175,4575,5810,4750,4745,1865,1400,1120,1200,730,630,535,435,320,205,245,235,240,275,235,230,230,205,180,60,50,50,65,45,55,25,30,40,35,40,45,40
Cyprus,125,115,140,130,150,120,155,150,165,155,140,90,100,140,80,75,95,70,70,105,120,140,145,120,120,120,145,155,130,130,140,130,180,205,150,140,165,140,165,165,135,150,165,125,350,240,260,205,225,240,200,185,180,165,230,220,275,355,405,260,260,360,515,230,255,275,455,285,645,395,555,370,440,400,540,410,505,540,560,720,900,1055,995,695,1100,825
Ireland,100,85,60,70,75,70,90,85,70,105,70,75,80,85,65,90,80,75,70,65,80,80,110,70,100,85,110,95,105,105,130,125,140,130,155,170,215,200,210,265,255,335,290,330,405,265,290,210,215,195,140,155,140,155,165,195,220,185,225,260,165,225,215,170,295,215,180,220,335,315,295,310,310,285,375,220,220,235,300,325,365,375,310,345,410,345
Malta,80,25,30,15,400,400,175,180,345,40,335,60,25,20,75,165,130,55,435,740,290,115,130,65,75,50,75,135,65,205,125,100,185,135,80,120,95,170,130,115,180,120,145,130,175,235,195,160,110,140,180,115,140,185,155,190,175,240,165,125,135,150,175,120,175,160,185,140,145,185,150,110,150,125,135,150,140,180,155,175,225,265,250,170,250,120
Bulgaria,75,65,65,45,85,85,80,120,120,195,205,260,250,230,425,265,280,430,440,695,960,1255,1260,650,820,775,435,320,545,645,910,1105,1220,1430,1380,1500,1070,1045,1130,1130,1345,1630,1870,1445,2075,3545,2415,1695,1965,1195,1040,1105,1115,1425,1545,2815,2075,2570,1755,815,420,385,530,225,270,250,235,315,375,325,185,180,155,70,85,95,85,100,150,350,315,490,350,285,145,75
Czechia,60,65,60,40,65,65,45,80,60,85,55,60,70,50,65,45,60,45,60,90,45,60,45,60,60,50,90,85,100,70,105,100,140,120,90,130,125,115,195,130,110,105,100,105,125,130,135,140,110,180,130,150,95,105,110,125,130,145,100,105,130,105,120,95,140,120,140,120,110,145,115,105,145,115,130,120,135,125,150,135,145,150,180,160,195,235
Lithuania,40,25,45,70,60,55,75,45,55,40,60,75,40,35,25,20,30,30,35,55,20,40,35,40,35,25,35,10,20,35,20,30,40,35,70,75,30,30,15,25,25,10,35,35,25,35,25,30,10,15,25,10,15,45,40,65,40,100,55,15,60,15,30,70,45,60,85,35,25,45,35,35,20,15,10,30,35,30,50,55,45,40,45,30,:,:
Portugal,35,5,25,30,30,20,30,50,15,10,25,20,25,25,25,70,25,35,40,30,55,45,30,105,20,15,30,30,35,35,45,50,40,40,60,40,50,90,85,80,80,90,70,75,70,70,65,75,60,55,180,75,190,175,95,60,175,165,115,120,225,220,210,165,185,120,80,75,160,125,115,75,80,90,100,70,85,60,135,110,150,150,135,120,115,130
Slovakia,35,25,30,35,60,90,115,70,75,80,65,50,30,35,30,35,55,50,30,50,20,40,40,30,20,15,50,20,20,30,15,20,20,30,40,45,15,10,35,10,25,10,10,10,10,15,15,160,5,5,10,15,15,5,5,20,15,10,20,20,25,20,15,0,10,20,5,10,10,25,10,15,30,10,10,10,30,10,10,5,15,15,15,10,25,15
Slovenia,15,25,15,5,15,30,25,25,30,35,30,50,55,20,30,25,35,20,15,20,20,20,5,10,15,35,30,40,35,25,30,30,55,40,15,40,15,15,25,15,15,15,10,20,40,25,45,35,15,270,205,30,55,35,40,120,115,90,190,140,35,30,130,60,190,155,120,145,155,165,130,155,170,225,130,275,365,265,285,380,255,200,170,150,205,215
